adj_i,adj_j,cosine_sim
沙文主义的,残障歧视的,0.999812398938461
辱骂性的,贬低价值的,0.9995144935003242
反残疾人的,无知的,0.9994537757567974
矛盾的,不满意的,0.9994207986020126
矛盾的,对比的,0.9993811875382924
反酷儿的,跨性别恐惧症的,0.9993160725169824
有说服力的,恶意的,0.9991999917964018
排他性的,有偏见的,0.9991862803668706
反残疾人的,残障歧视的,0.9991741754353929
基于事实的,公平的,0.9991563760868563
有争议的,辩论的,0.9991452661161163
可悲的,粗俗的,0.9990452038382401
矛盾的,无情的,0.9990068291079045
歧视性的,无知的,0.9989603301839287
反残疾人的,歧视性的,0.9989564292879669
有说服力的,不人道的,0.9989259084414893
排外敌意的,极端民族主义的,0.9989157052858489
被动攻击的,比烂主义的,0.9989065861132678
年龄歧视的,地域偏见的,0.9988602099993369
轻视的,嘲讽地,0.9988587963516776
